"Response","term","Type","Df","estimate","std.error","statistic","p.value","Sig","conf.low","conf.high"
"MATURE_ACORNS","SPRING_PHENO","z",1,-0.0577,0.0153,-3.778,"<0.001","**",-0.0876,-0.0278
"MATURE_ACORNS","HEIGHT","z",1,0.0246,0.0152,1.617,"0.1059","",-0.0052,0.0545
"IMMAT_ACORNS","SPRING_PHENO","z",1,-0.0463,0.0322,-1.437,"0.1508","",-0.1095,0.0169
"IMMAT_ACORNS","K_MGL","z",1,4e-04,8e-04,0.555,"0.5791","",-0.0011,0.0019
"IMMAT_ACORNS","MIDAPRIL_LAI","z",1,0.0012,0.0104,0.116,"0.9075","",-0.0191,0.0215
"IMMAT_ACORNS","CROWN_SPREAD","z",1,-0.0123,0.0219,-0.561,"0.5751","",-0.0553,0.0307
"IMMAT_ACORNS","P_MGL","z",1,0.0187,0.0129,1.443,"0.1489","",-0.0067,0.044
"IMMAT_ACORNS","HEIGHT","z",1,-0.0042,0.0167,-0.251,"0.8022","",-0.0369,0.0285
"IMMAT_ACORNS","STALK_DENSITY","z",1,-0.0356,0.044,-0.81,"0.4177","",-0.1218,0.0506
"ABORTED_ACORNS","MIDNOV_LAI","z",1,0.0386,0.0151,2.556,"0.0106","*",0.009,0.0681
"ABORTED_ACORNS","AUTUMN_PHENO","z",1,-0.0715,0.0458,-1.56,"0.1188","",-0.1613,0.0183
"ABORTED_ACORNS","PH","z",1,-0.1323,0.0929,-1.424,"0.1544","",-0.3145,0.0498
"ABORTED_ACORNS","SOIL_CLASS","χ²",5,NA,NA,19.842,"0.0013","**",NA,NA
"FLOWERS","AUTUMN_PHENO","z",1,0.0156,0.0592,0.263,"0.7926","",-0.1005,0.1317
"FLOWERS","MIDNOV_LAI","z",1,0.0093,0.0192,0.485,"0.628","",-0.0284,0.047
"FLOWERS","AUPPC","z",1,0.0093,0.0139,0.67,"0.5031","",-0.0179,0.0365
"FLOWERS","STALK_DENSITY","z",1,-0.0266,0.0469,-0.567,"0.5704","",-0.1184,0.0653
"FLOWERS","MIDAPRIL_LAI","z",1,0.002,0.0076,0.263,"0.7922","",-0.0128,0.0168
"GALLS","HEIGHT","z",1,0.0052,0.0143,0.361,"0.7179","",-0.0228,0.0331
