"Variable","ELEVATION","ASPECT","HEIGHT","DBH","CROWN_SPREAD","CROWN_CROSS","CANOPY_CLOSURE","STALK_DENSITY","PH","P_MGL","K_MGL","Mg_MGL","SAND","SILT","CLAY","SPRING_PHENO","MIDAPRIL_LAI","AUTUMN_PHENO","MIDNOV_LAI","AUPPC"
"ELEVATION",1,0.096,-0.321,-0.051,-0.018,0.175,-0.613,-0.619,0.319,-0.043,-0.101,-0.442,0.303,-0.272,-0.308,0.186,0.241,0.087,0.131,0.262
"ASPECT",0.096,1,-0.242,-0.002,0.038,0.093,-0.044,0.077,0.148,-0.083,-0.156,-0.109,0.221,-0.278,-0.17,0.278,0.356,-0.159,-0.127,0.118
"HEIGHT",-0.321,-0.242,1,0.303,0.073,0.129,0.163,0.107,-0.149,0.125,0.091,0.006,-0.124,0.156,0.095,-0.4,-0.16,0.132,0.037,-0.206
"DBH",-0.051,-0.002,0.303,1,0.642,0.534,-0.178,-0.153,-0.354,0.539,0.175,-0.037,0.324,-0.286,-0.333,-0.096,0.117,0.174,0.19,0.107
"CROWN_SPREAD",-0.018,0.038,0.073,0.642,1,0.713,-0.152,-0.103,-0.314,0.339,0.167,-0.043,0.219,-0.124,-0.273,-0.193,-0.02,0.413,0.349,0.265
"CROWN_CROSS",0.175,0.093,0.129,0.534,0.713,1,-0.29,-0.242,-0.261,0.325,0.2,-0.069,0.224,-0.147,-0.265,-0.041,0.088,0.313,0.248,0.262
"CANOPY_CLOSURE",-0.613,-0.044,0.163,-0.178,-0.152,-0.29,1,0.681,-0.109,-0.133,0.077,0.282,-0.27,0.199,0.305,0,-0.112,-0.137,-0.234,-0.173
"STALK_DENSITY",-0.619,0.077,0.107,-0.153,-0.103,-0.242,0.681,1,-0.197,-0.024,-0.024,0.315,-0.476,0.399,0.503,-0.112,-0.16,-0.224,-0.334,-0.227
"PH",0.319,0.148,-0.149,-0.354,-0.314,-0.261,-0.109,-0.197,1,-0.221,-0.019,-0.413,0.077,-0.187,0.005,-0.01,-0.087,-0.362,-0.333,-0.319
"P_MGL",-0.043,-0.083,0.125,0.539,0.339,0.325,-0.133,-0.024,-0.221,1,0.435,0.172,0.186,-0.106,-0.231,-0.239,-0.222,0.231,0.198,-0.068
"K_MGL",-0.101,-0.156,0.091,0.175,0.167,0.2,0.077,-0.024,-0.019,0.435,1,0.491,-0.075,0.1,0.053,-0.072,-0.059,0.227,0.1,0.046
"Mg_MGL",-0.442,-0.109,0.006,-0.037,-0.043,-0.069,0.282,0.315,-0.413,0.172,0.491,1,-0.538,0.519,0.523,-0.026,-0.049,0.01,-0.082,-0.039
"SAND",0.303,0.221,-0.124,0.324,0.219,0.224,-0.27,-0.476,0.077,0.186,-0.075,-0.538,1,-0.954,-0.978,0.268,0.342,0.07,0.208,0.15
"SILT",-0.272,-0.278,0.156,-0.286,-0.124,-0.147,0.199,0.399,-0.187,-0.106,0.1,0.519,-0.954,1,0.87,-0.279,-0.31,0.027,-0.116,-0.08
"CLAY",-0.308,-0.17,0.095,-0.333,-0.273,-0.265,0.305,0.503,0.005,-0.231,0.053,0.523,-0.978,0.87,1,-0.245,-0.345,-0.134,-0.261,-0.191
"SPRING_PHENO",0.186,0.278,-0.4,-0.096,-0.193,-0.041,0,-0.112,-0.01,-0.239,-0.072,-0.026,0.268,-0.279,-0.245,1,0.838,-0.264,-0.134,0.336
"MIDAPRIL_LAI",0.241,0.356,-0.16,0.117,-0.02,0.088,-0.112,-0.16,-0.087,-0.222,-0.059,-0.049,0.342,-0.31,-0.345,0.838,1,-0.19,-0.092,0.362
"AUTUMN_PHENO",0.087,-0.159,0.132,0.174,0.413,0.313,-0.137,-0.224,-0.362,0.231,0.227,0.01,0.07,0.027,-0.134,-0.264,-0.19,1,0.915,0.687
"MIDNOV_LAI",0.131,-0.127,0.037,0.19,0.349,0.248,-0.234,-0.334,-0.333,0.198,0.1,-0.082,0.208,-0.116,-0.261,-0.134,-0.092,0.915,1,0.725
"AUPPC",0.262,0.118,-0.206,0.107,0.265,0.262,-0.173,-0.227,-0.319,-0.068,0.046,-0.039,0.15,-0.08,-0.191,0.336,0.362,0.687,0.725,1
