"Tree","TREE_ID","Original_PRODUCER","Producer_no2020","mean_count_no2020","sum_count_no2020","Same_class"
"1","1","High","Super",141,423,FALSE
"2","2","Mid","Medium",27.6666666666667,83,FALSE
"3","3","Mid","Low",7.33333333333333,22,FALSE
"4","4","Mid","Medium",10.6666666666667,32,FALSE
"5","5","Low","Low",2.66666666666667,8,TRUE
"6","6","Low","Low",5.33333333333333,16,TRUE
"7","7","Low","Low",0,0,TRUE
"8","8","Mid","Super",43,129,FALSE
"9","9","Low","Low",1.33333333333333,4,TRUE
"11","11","Mid","Super",36.3333333333333,109,FALSE
"12","12","Mid","Super",34.3333333333333,103,FALSE
"13","13","High","Super",132,396,FALSE
"14","14","Mid","Medium",19.6666666666667,59,FALSE
"15","15","High","Super",127,381,FALSE
"16","16","Low","Low",2,6,TRUE
"17","17","Low","Low",1.33333333333333,4,TRUE
"18","18","Mid","Low",3.66666666666667,11,FALSE
"19","19","Mid","Super",57,171,FALSE
"20","20","Mid","Super",60,180,FALSE
"21","21","Low","Low",0,0,TRUE
"22","22","Mid","Medium",15.6666666666667,47,FALSE
"23","23","Mid","Super",40.6666666666667,122,FALSE
"24","24","Mid","Medium",9.66666666666667,29,FALSE
"25","25","Low","Medium",14,42,FALSE
"26","26","Mid","Medium",13,39,FALSE
"27","27","Low","Low",1.66666666666667,5,TRUE
"28","28","Mid","Medium",17.6666666666667,53,FALSE
"29","29","Mid","Low",7.33333333333333,22,FALSE
"30","30","Mid","Super",49.3333333333333,148,FALSE
"31","31","Mid","Medium",28,84,FALSE
"32","32","Low","Medium",8,24,FALSE
"33","33","High","Super",178.333333333333,535,FALSE
"34","34","Mid","Medium",32.3333333333333,97,FALSE
"35","35","Mid","Super",34.3333333333333,103,FALSE
"36","36","High","Super",212,636,FALSE
"37","37","Low","Medium",11,33,FALSE
"38","38","Low","Low",5,15,TRUE
"39","39","High","Super",136,408,FALSE
"41","41","Mid","Medium",29.6666666666667,89,FALSE
