"Response","Predictor","Df","LR Chisq","Pr(>Chisq)","Sig"
"VIZ_COUNT","CROWN_SPREAD",1,1.705,"0.1916",""
"VIZ_COUNT","HEIGHT",1,1.515,"0.2184",""
"VIZ_COUNT","SPRING_PHENO",1,2.461,"0.1167",""
"VIZ_COUNT","PH",1,0.67,"0.413",""
"VIZ_COUNT","CANOPY_CLOSURE",1,9.077,"0.0026","**"
"MATURE_ACORNS","SPRING_PHENO",1,8.933,"0.0028","**"
"MATURE_ACORNS","HEIGHT",1,1.171,"0.2791",""
"IMMAT_ACORNS","SPRING_PHENO",1,1.493,"0.2218",""
"IMMAT_ACORNS","K_MGL",1,0.061,"0.8048",""
"IMMAT_ACORNS","MIDAPRIL_LAI",1,0.033,"0.8557",""
"IMMAT_ACORNS","CROWN_SPREAD",1,0.023,"0.8791",""
"IMMAT_ACORNS","P_MGL",1,1.167,"0.2801",""
"IMMAT_ACORNS","HEIGHT",1,0,"0.9902",""
"IMMAT_ACORNS","STALK_DENSITY",1,0.18,"0.671",""
"ABORTED_ACORNS","MIDNOV_LAI",1,7.639,"0.0057","**"
"ABORTED_ACORNS","AUTUMN_PHENO",1,2.155,"0.1421",""
"ABORTED_ACORNS","PH",1,0.737,"0.3907",""
"ABORTED_ACORNS","SOIL_CLASS",5,26.458,"<0.001","**"
"FLOWERS","AUTUMN_PHENO",1,0.012,"0.9134",""
"FLOWERS","MIDNOV_LAI",1,0.602,"0.4379",""
"FLOWERS","AUPPC",1,0.026,"0.8728",""
"FLOWERS","STALK_DENSITY",1,0.014,"0.9044",""
"FLOWERS","MIDAPRIL_LAI",1,0.095,"0.758",""
"GALLS","HEIGHT",1,0.229,"0.6322",""
