"Response","Predictor","Df","LR Chisq","Pr(>Chisq)","Sig","VIF"
"VIZ_COUNT","CROWN_SPREAD",1,1.705,"0.1916","","1.21"
"VIZ_COUNT","HEIGHT",1,1.515,"0.2184","","1.26"
"VIZ_COUNT","SPRING_PHENO",1,2.461,"0.1167","","1.256"
"VIZ_COUNT","PH",1,0.67,"0.413","","1.177"
"VIZ_COUNT","CANOPY_CLOSURE",1,9.077,"0.0026","**","1.081"
"MATURE_ACORNS","SPRING_PHENO",1,8.933,"0.0028","**","1.191"
"MATURE_ACORNS","HEIGHT",1,1.171,"0.2791","","1.191"
"IMMAT_ACORNS","SPRING_PHENO",1,1.493,"0.2218","","5.017"
"IMMAT_ACORNS","K_MGL",1,0.061,"0.8048","","1.241"
"IMMAT_ACORNS","MIDAPRIL_LAI",1,0.033,"0.8557","","4.328"
"IMMAT_ACORNS","CROWN_SPREAD",1,0.023,"0.8791","","1.281"
"IMMAT_ACORNS","P_MGL",1,1.167,"0.2801","","1.434"
"IMMAT_ACORNS","HEIGHT",1,0,"0.9902","","1.407"
"IMMAT_ACORNS","STALK_DENSITY",1,0.18,"0.671","","1.052"
"ABORTED_ACORNS","MIDNOV_LAI",1,7.639,"0.0057","**","7.297"
"ABORTED_ACORNS","AUTUMN_PHENO",1,2.155,"0.1421","","6.868"
"ABORTED_ACORNS","PH",1,0.737,"0.3907","","1.592"
"ABORTED_ACORNS","SOIL_CLASS",5,26.458,"<0.001","**","1.113"
"FLOWERS","AUTUMN_PHENO",1,0.012,"0.9134","","7.542"
"FLOWERS","MIDNOV_LAI",1,0.602,"0.4379","","7.701"
"FLOWERS","AUPPC",1,0.026,"0.8728","","3.972"
"FLOWERS","STALK_DENSITY",1,0.014,"0.9044","","1.236"
"FLOWERS","MIDAPRIL_LAI",1,0.095,"0.758","","2.08"
"GALLS","HEIGHT",1,0.229,"0.6322","","—"
