"Response","Climate","r","n","p_value"
"mean_VIZ","Spring_mean_temp",1,3,"0.019"
"mean_VIZ","Summer_mean_temp",0.728,3,"0.481"
"mean_VIZ","Precip_Spring_mm",-0.61,4,"0.39"
"mean_VIZ","Precip_Summer_mm",0.412,4,"0.588"
"mean_MATURE","Spring_mean_temp",0.988,3,"0.101"
"mean_MATURE","Summer_mean_temp",0.809,3,"0.4"
"mean_MATURE","Precip_Spring_mm",-0.341,3,"0.779"
"mean_MATURE","Precip_Summer_mm",-1,3,"0.005"
"mean_IMMAT","Spring_mean_temp",0.978,3,"0.135"
"mean_IMMAT","Summer_mean_temp",0.542,3,"0.635"
"mean_IMMAT","Precip_Spring_mm",0.023,3,"0.986"
"mean_IMMAT","Precip_Summer_mm",-0.93,3,"0.24"
"mean_ABORT","Spring_mean_temp",0.861,3,"0.34"
"mean_ABORT","Summer_mean_temp",0.248,3,"0.84"
"mean_ABORT","Precip_Spring_mm",0.338,3,"0.781"
"mean_ABORT","Precip_Summer_mm",-0.765,3,"0.445"
"mean_FLOW","Spring_mean_temp",0.602,3,"0.589"
"mean_FLOW","Summer_mean_temp",0.99,3,"0.089"
"mean_FLOW","Precip_Spring_mm",-0.898,3,"0.29"
"mean_FLOW","Precip_Summer_mm",-0.725,3,"0.484"
