Qrob_P0000010.2	AT3G22160.1	51.695	118	38	6	48	163	42	142	1.48e-13	67.4
Qrob_P0000020.2	AT1G05310.1	66.768	328	108	1	66	392	62	389	5.55e-176	496
Qrob_P0000030.2	AT1G05310.1	59.200	125	50	1	65	188	62	186	1.49e-47	161
Qrob_P0000290.2	AT3G22142.1	78.947	57	12	0	10	66	1422	1478	2.01e-29	108
Qrob_P0000440.2	AT1G65430.1	72.892	166	45	0	2	167	48	213	3.61e-87	267
Qrob_P0000460.2	AT1G65430.1	72.947	207	43	1	26	232	375	568	1.44e-96	293
Qrob_P0000590.2	AT3G07360.1	58.553	456	170	8	11	456	15	461	2.07e-179	509
Qrob_P0000610.2	AT1G72670.1	55.844	77	32	1	1	77	141	215	8.63e-22	87.4
Qrob_P0000650.2	AT5G17430.1	43.106	747	238	28	1	722	1	585	5.91e-145	436
Qrob_P0000690.2	AT3G03300.4	61.420	521	190	2	355	875	664	1173	0.0	642
Qrob_P0000720.2	AT5G36170.3	64.246	179	51	1	20	198	56	221	6.12e-74	229
Qrob_P0000730.2	AT5G36170.1	84.914	232	35	0	1	232	226	457	3.71e-149	423
Qrob_P0000750.2	AT3G03330.1	70.698	215	62	1	4	217	1	215	6.04e-105	306
Qrob_P0000840.2	AT3G03340.3	79.769	173	33	1	1	173	51	221	8.94e-94	276
Qrob_P0000850.2	AT5G17440.1	88.889	90	10	0	6	95	220	309	1.58e-49	167
Qrob_P0000870.2	AT5G16390.2	48.582	282	96	8	8	285	15	251	3.27e-59	189
Qrob_P0000880.2	AT3G02790.1	75.472	106	25	1	1	105	1	106	3.73e-52	159
Qrob_P0000900.2	AT3G02800.1	69.268	205	60	2	1	203	1	204	3.44e-103	296
Qrob_P0000930.2	AT5G36290.2	85.714	105	15	0	319	423	190	294	3.24e-58	192
Qrob_P0000940.2	AT2G22070.1	38.494	704	414	3	73	757	84	787	8.61e-177	526
Qrob_P0000950.2	AT5G16490.1	48.980	147	59	5	1	141	1	137	8.78e-38	127
Qrob_P0000960.2	AT4G12800.2	80.275	218	42	1	2	218	65	282	9.44e-105	303
Qrob_P0000970.2	AT3G02830.1	59.836	122	19	2	1	122	1	92	2.04e-43	146
Qrob_P0000980.2	AT3G02830.2	65.306	147	31	3	35	179	73	201	4.50e-60	192
Qrob_P0000990.2	AT3G02830.2	53.140	207	62	5	53	253	193	370	1.56e-63	203
Qrob_P0001000.2	AT1G65295.1	76.744	86	15	2	28	113	36	116	3.74e-42	134
Qrob_P0001030.2	AT3G51550.1	50.000	330	162	2	26	355	511	837	2.59e-102	322
Qrob_P0001040.2	AT1G50180.1	41.524	932	449	22	1	914	1	854	0.0	644
Qrob_P0001060.2	AT5G08139.1	41.791	67	36	1	104	170	296	359	2.71e-15	72.8
Qrob_P0001070.2	AT5G08139.1	43.284	67	35	1	96	162	296	359	2.89e-15	72.4
Qrob_P0001110.2	AT5G54590.4	29.740	269	156	8	326	564	119	384	4.30e-23	102
Qrob_P0001120.2	AT3G14190.2	40.000	50	24	2	17	63	131	177	0.008	34.3
Qrob_P0001150.2	AT5G27110.1	47.514	543	213	10	8	480	147	687	1.24e-160	472
Qrob_P0001160.2	AT1G65770.1	23.478	345	201	13	13	332	28	334	2.03e-12	68.2
Qrob_P0001170.2	AT3G14190.2	49.153	59	22	2	1	54	1	56	8.98e-06	42.7
Qrob_P0001200.2	AT3G24255.5	30.159	63	44	0	1	63	136	198	2.22e-04	37.4
Qrob_P0001220.2	AT1G44080.1	26.644	289	164	12	79	345	83	345	2.87e-11	64.3
Qrob_P0001230.2	AT3G56630.1	41.799	189	94	4	45	222	32	215	2.42e-41	147
Qrob_P0001270.2	AT3G24255.7	37.815	119	74	0	41	159	80	198	4.12e-19	83.6
Qrob_P0001280.2	AT3G56630.1	45.859	495	237	8	48	539	32	498	1.60e-156	456
Qrob_P0001290.2	AT1G01020.2	71.875	32	9	0	1	32	1	32	7.94e-12	57.0
Qrob_P0001310.2	AT2G38020.1	64.450	391	118	6	1	375	1	386	5.35e-177	514
Qrob_P0001330.2	AT2G38020.1	81.163	430	74	3	2	430	436	859	0.0	717
Qrob_P0001370.2	AT3G47580.1	41.530	183	98	4	1	175	818	999	2.70e-38	139
Qrob_P0001380.2	AT5G46330.2	33.882	1033	592	21	34	994	33	1046	9.28e-156	491
Qrob_P0001410.2	AT5G46330.2	36.786	280	159	7	7	277	523	793	4.00e-37	142
Qrob_P0001420.2	AT4G18380.2	34.896	384	198	11	2	356	21	381	9.52e-57	189
Qrob_P0001430.2	AT2G13360.3	87.562	402	50	0	1	402	1	402	0.0	749
Qrob_P0001460.2	AT3G09150.2	49.584	361	130	4	18	377	20	329	7.04e-120	350
Qrob_P0001470.2	AT4G31530.1	67.712	319	67	4	22	318	21	325	4.53e-134	384
Qrob_P0001480.2	AT1G50510.1	73.314	341	73	4	1	335	1	329	2.74e-176	493
Qrob_P0001490.2	AT1G50420.1	69.358	483	139	6	1	474	1	483	0.0	683
Qrob_P0001500.2	AT4G33550.1	47.573	103	51	2	13	112	9	111	2.29e-30	106
Qrob_P0001510.2	AT5G25610.1	48.837	215	97	6	8	210	176	389	2.80e-61	196
Qrob_P0001520.2	AT2G13540.1	68.686	776	219	5	11	784	93	846	0.0	1104
Qrob_P0001530.2	AT5G12400.1	42.487	1737	818	46	1	1692	1	1601	0.0	1190
Qrob_P0001700.2	AT5G60900.1	54.658	322	102	4	227	504	488	809	6.64e-103	327
Qrob_P0001810.2	AT3G05950.1	71.905	210	55	3	13	220	14	221	1.79e-102	296
Qrob_P0001820.2	AT3G05950.1	69.058	223	63	5	2	220	1	221	1.96e-100	291
Qrob_P0001830.2	AT3G05950.1	73.810	210	51	3	9	216	14	221	2.07e-106	306
Qrob_P0001880.2	AT4G24820.2	85.484	62	9	0	186	247	327	388	2.69e-27	108
Qrob_P0001900.2	AT5G49190.1	82.663	796	136	1	1	796	9	802	0.0	1396
Qrob_P0001910.2	AT5G08290.1	97.902	143	3	0	1	143	1	143	3.07e-105	296
Qrob_P0001920.2	AT3G06810.1	73.647	850	194	4	1	849	1	821	0.0	1313
Qrob_P0001940.2	AT3G16730.1	55.051	683	263	13	7	672	8	663	0.0	672
Qrob_P0001950.2	AT3G06840.1	54.146	205	69	7	1	197	1	188	5.56e-56	176
Qrob_P0001970.2	AT5G51630.3	48.322	149	67	4	10	149	2	149	1.48e-34	127
Qrob_P0001980.2	AT5G17680.2	35.546	678	386	15	1	655	215	864	3.43e-107	353
Qrob_P0002010.2	AT4G02340.1	64.263	319	111	2	1	319	1	316	6.06e-161	452
Qrob_P0002030.2	AT4G02340.1	63.636	319	113	2	1	319	1	316	1.80e-159	448
Qrob_P0002050.2	AT4G02340.1	60.072	278	107	3	3	279	42	316	2.41e-126	362
Qrob_P0002090.2	AT5G49130.1	66.667	492	159	3	6	496	13	500	0.0	643
Qrob_P0002100.2	AT5G49120.1	41.935	155	82	4	1	154	1	148	5.38e-32	112
Qrob_P0002190.2	AT4G32300.1	33.488	648	338	20	1	589	186	799	9.63e-91	298
Qrob_P0002200.2	AT1G78860.1	30.925	346	165	16	98	391	86	409	5.51e-32	129
Qrob_P0002240.2	AT1G06460.1	45.196	281	119	8	16	285	18	274	2.42e-67	211
Qrob_P0002410.2	AT1G26640.1	64.228	369	84	3	9	375	8	330	2.61e-172	483
Qrob_P0002430.2	AT1G26640.1	61.981	313	77	4	24	296	20	330	1.38e-134	385
Qrob_P0002450.2	AT1G69400.2	47.794	136	71	0	54	189	106	241	4.61e-42	144
Qrob_P0002470.2	AT1G69380.1	65.252	377	114	6	1	369	1	368	6.26e-169	487
Qrob_P0002490.2	AT2G03350.1	76.923	52	12	0	1	52	1	52	3.77e-21	81.6
Qrob_P0002530.2	AT5G17680.1	30.876	434	225	11	1	422	482	852	3.11e-42	165
Qrob_P0002540.2	AT2G03360.2	53.125	416	178	6	16	427	54	456	4.29e-155	446
Qrob_P0002620.2	AT1G69360.1	35.949	1096	489	30	1	1082	1	897	3.06e-170	524
Qrob_P0002630.2	AT2G03380.1	59.104	692	275	3	68	758	5	689	0.0	830
Qrob_P0002650.2	AT2G03390.2	76.098	205	49	0	1	205	16	220	1.13e-114	326
Qrob_P0002670.2	AT1G69340.2	57.143	217	55	5	1	179	2	218	5.01e-70	224
Qrob_P0002680.2	AT1G58520.7	50.855	702	276	11	1	646	1	689	0.0	616
Qrob_P0002710.2	AT2G03430.1	63.303	109	37	1	3	111	1	106	5.76e-42	138
Qrob_P0002740.2	AT2G03440.1	41.500	200	70	7	1	166	1	187	3.50e-29	106
Qrob_P0002750.2	AT1G69330.1	59.643	280	87	6	1	265	1	269	2.36e-110	319
Qrob_P0002760.2	AT1G13920.1	37.405	262	111	9	62	303	118	346	1.32e-30	118
Qrob_P0002790.2	AT1G13920.1	38.938	113	48	1	188	279	234	346	8.46e-17	79.7
Qrob_P0002810.2	AT1G13920.1	37.183	355	174	12	45	379	21	346	2.18e-35	133
Qrob_P0002820.2	AT5G61240.1	80.259	309	37	1	22	306	19	327	1.41e-179	499
Qrob_P0002830.2	AT1G26600.1	59.459	74	22	3	11	81	53	121	5.44e-18	72.4
